yaa/020782,47
yaa/020882,43
yaa/020982,40
yaa/021082,51
yaa/021182a,51
yaa/021182b,39
yaa/021282,64
yaa/021382,23
yaa/021482,47
yaa/021682,29
yaa/021782,14
yaa/021882a,34
yaa/021882b,28
yaa/021882c,32
yaa/021982,39
yaa/022082,28
yaa/022182a,41
yaa/022182b,14
yaa/022382a,26
yaa/022382b,14
yaa/022382c,112
yaa/022482,73
yaa/022582,56
yaa/022682a,42
yaa/022682b,77
yaa/022682c,28
yaa/022782,32
yaa/022882,22
yaa/030182a,24
yaa/030182b,49
yaa/030282,44
yaa/030382,1
yaa/030482a,14
yaa/030482b,19
yaa/030582a,16
yaa/030582b,21
yaa/030682a,21
yaa/030682b,19
yaa/030682c,10
yaa/030682d,26
yaa/030682e,13
yaa/030882,32
yaa/030982,20
yaa/031082a,18
yaa/031082b,12
yaa/031082c,58
yaa/031182,16
yaa/031382,39
yaa/031582,23
yaa/031982,13
yaa/032982,41
yaa/033082,1
yaa/042782,23
yaa/042882,19
yaa/042982,14
yaa/043082,21
yaa/050182,12
yaa/050282,10
yaa/050382,6
yaa/050782,18
yaa/050982,11
yaa/051082a,16
yaa/051082b,25
yaa/051082c,23
yaa/051182,16
yaa/051582,17
yaa/051782,28
yaa/052882,33
yaa/053082,19
yaa/060382,9
yaa/061082,64
yaa/061282,31
yaa/061482,9
yaa/061982,13
yaa/062182,29
yaa/afterword,5
yaa/foreword,19
